"","FLINT (F2 or higher)","NHANES-NAFLD (F2 or higher)","FLINT (F3 or higher)","NHANES-NAFLD (F3 or higher)"
"SL-12","0.788 (0.73, 0.836)","0.711 (0.655, 0.763)","0.783 (0.72, 0.843)","0.787 (0.705, 0.852)"
"SL-12 (log)","0.787 (0.726, 0.833)","0.738 (0.678, 0.792)","0.788 (0.726, 0.845)","0.777 (0.689, 0.846)"
"SL-12 (all)","0.793 (0.733, 0.841)","0.71 (0.65, 0.767)","0.791 (0.729, 0.851)","0.78 (0.694, 0.855)"
"SL-90","0.793 (0.733, 0.84)","0.719 (0.659, 0.773)","0.789 (0.725, 0.845)","0.784 (0.696, 0.852)"
"SL-90 (log)","0.781 (0.721, 0.829)","0.705 (0.644, 0.763)","0.789 (0.724, 0.846)","0.754 (0.665, 0.836)"
"SL-90 (all)","0.798 (0.74, 0.846)","0.686 (0.625, 0.749)","0.786 (0.724, 0.846)","0.774 (0.69, 0.846)"
"APRI","0.716 (0.657, 0.774)","0.623 (0.56, 0.682)","0.69 (0.621, 0.759)","0.669 (0.574, 0.764)"
"BARD","0.659 (0.595, 0.721)","0.568 (0.502, 0.637)","0.656 (0.584, 0.723)","0.657 (0.53, 0.767)"
"FIB-4","0.736 (0.675, 0.792)","0.59 (0.523, 0.651)","0.712 (0.641, 0.778)","0.632 (0.535, 0.726)"
"Forns","0.65 (0.583, 0.711)","0.619 (0.559, 0.674)","0.668 (0.598, 0.732)","0.634 (0.534, 0.724)"
"NFS","0.706 (0.644, 0.762)","0.724 (0.668, 0.782)","0.683 (0.614, 0.749)","0.775 (0.696, 0.847)"
"SAFE","0.795 (0.739, 0.841)","0.735 (0.674, 0.789)","0.761 (0.698, 0.818)","0.803 (0.711, 0.875)"
