"","","Decile","FLINT (F2 or higher)","NHANES-NAFLD (F2 or higher)","FLINT (F3 or higher)","NHANES-NAFLD (F3 or higher)"
"1","SL-12",1,"0.558 (0.134, 1.082)","0.259 (0.028, 0.537)","1.054 (0, 2.25)","0.324 (0, 1.038)"
"2","",2,"0.504 (0.11, 0.95)","0.108 (0.018, 0.236)","0.287 (0, 0.826)","0.055 (0, 0.179)"
"3","",3,"1.03 (0.607, 1.427)","0.418 (0.136, 0.772)","1.007 (0.25, 1.787)","0 (0, 0)"
"4","",4,"1.03 (0.686, 1.413)","0.275 (0.098, 0.495)","1.219 (0.585, 1.955)","0.332 (0.05, 0.725)"
"5","",5,"1.074 (0.738, 1.404)","0.34 (0.142, 0.608)","1.123 (0.484, 1.809)","0.229 (0.026, 0.545)"
"6","",6,"1.108 (0.762, 1.461)","0.459 (0.253, 0.753)","1.09 (0.481, 1.805)","0.51 (0.092, 1.126)"
"7","",7,"1.192 (0.931, 1.417)","0.441 (0.226, 0.72)","0.792 (0.334, 1.257)","0.129 (0.015, 0.301)"
"8","",8,"1.212 (1.021, 1.387)","0.248 (0.123, 0.435)","1.268 (0.839, 1.718)","0.065 (0, 0.157)"
"9","",9,"1.015 (0.804, 1.195)","0.623 (0.374, 0.859)","0.892 (0.54, 1.243)","0.925 (0.36, 1.49)"
"10","",10,"1.109 (0.995, 1.191)","0.621 (0.456, 0.783)","1.299 (1.089, 1.479)","0.582 (0.35, 0.852)"
"11","SL-12 (log)",1,"0.574 (0.142, 1.086)","0.286 (0.031, 0.605)","1.136 (0, 2.372)","0.398 (0, 1.264)"
"12","",2,"0.515 (0.109, 0.96)","0.118 (0.02, 0.26)","0.326 (0, 0.977)","0.062 (0, 0.204)"
"13","",3,"1.019 (0.602, 1.423)","0.445 (0.145, 0.832)","1.123 (0.287, 2.003)","0 (0, 0)"
"14","",4,"1.031 (0.682, 1.404)","0.309 (0.11, 0.551)","1.303 (0.62, 2.117)","0.379 (0.059, 0.83)"
"15","",5,"1.055 (0.727, 1.387)","0.391 (0.165, 0.688)","1.244 (0.534, 2.007)","0.256 (0.029, 0.608)"
"16","",6,"1.107 (0.765, 1.454)","0.511 (0.288, 0.818)","1.258 (0.561, 2.058)","0.569 (0.101, 1.236)"
"17","",7,"1.18 (0.91, 1.396)","0.499 (0.257, 0.809)","0.881 (0.381, 1.379)","0.148 (0.017, 0.34)"
"18","",8,"1.218 (1.022, 1.398)","0.282 (0.14, 0.487)","1.458 (0.954, 1.977)","0.072 (0, 0.173)"
"19","",9,"1.031 (0.812, 1.216)","0.715 (0.432, 0.985)","0.994 (0.602, 1.405)","1.05 (0.405, 1.682)"
"20","",10,"1.109 (0.992, 1.193)","0.674 (0.496, 0.844)","1.453 (1.219, 1.661)","0.654 (0.4, 0.95)"
"21","SL-12 (all)",1,"0.544 (0.135, 1.013)","0.24 (0.026, 0.506)","1.092 (0, 2.29)","0.347 (0, 1.102)"
"22","",2,"0.504 (0.108, 0.939)","0.104 (0.018, 0.229)","0.299 (0, 0.866)","0.06 (0, 0.2)"
"23","",3,"0.999 (0.592, 1.384)","0.409 (0.134, 0.752)","0.958 (0.236, 1.714)","0 (0, 0)"
"24","",4,"1.051 (0.704, 1.434)","0.281 (0.101, 0.504)","1.203 (0.577, 1.914)","0.376 (0.057, 0.821)"
"25","",5,"1.066 (0.732, 1.399)","0.356 (0.15, 0.625)","1.07 (0.469, 1.721)","0.266 (0.03, 0.623)"
"26","",6,"1.128 (0.782, 1.478)","0.482 (0.267, 0.782)","1.097 (0.486, 1.794)","0.565 (0.1, 1.235)"
"27","",7,"1.195 (0.929, 1.419)","0.46 (0.232, 0.748)","0.76 (0.325, 1.201)","0.147 (0.017, 0.339)"
"28","",8,"1.232 (1.032, 1.413)","0.26 (0.128, 0.457)","1.219 (0.801, 1.652)","0.071 (0, 0.171)"
"29","",9,"1.035 (0.812, 1.225)","0.675 (0.406, 0.933)","0.857 (0.519, 1.203)","1.064 (0.412, 1.722)"
"30","",10,"1.117 (1.005, 1.197)","0.646 (0.473, 0.813)","1.255 (1.056, 1.419)","0.599 (0.366, 0.866)"
"31","SL-90",1,"0.545 (0.137, 1.032)","0.262 (0.029, 0.553)","1.289 (0, 2.712)","0.407 (0, 1.292)"
"32","",2,"0.517 (0.11, 0.969)","0.108 (0.018, 0.236)","0.356 (0, 1.053)","0.065 (0, 0.214)"
"33","",3,"1.034 (0.614, 1.438)","0.409 (0.134, 0.753)","1.201 (0.292, 2.12)","0 (0, 0)"
"34","",4,"1.068 (0.705, 1.463)","0.275 (0.098, 0.491)","1.486 (0.703, 2.409)","0.405 (0.062, 0.893)"
"35","",5,"1.103 (0.759, 1.429)","0.352 (0.148, 0.615)","1.349 (0.589, 2.163)","0.277 (0.031, 0.654)"
"36","",6,"1.146 (0.79, 1.515)","0.473 (0.264, 0.77)","1.337 (0.583, 2.232)","0.596 (0.107, 1.301)"
"37","",7,"1.2 (0.943, 1.423)","0.454 (0.23, 0.737)","0.905 (0.384, 1.411)","0.151 (0.017, 0.352)"
"38","",8,"1.254 (1.052, 1.433)","0.264 (0.129, 0.462)","1.502 (1, 2.03)","0.077 (0, 0.187)"
"39","",9,"1.035 (0.815, 1.218)","0.672 (0.402, 0.928)","1.038 (0.629, 1.461)","1.112 (0.431, 1.795)"
"40","",10,"1.128 (1.013, 1.211)","0.651 (0.476, 0.821)","1.484 (1.249, 1.678)","0.689 (0.418, 1.006)"
"41","SL-90 (log)",1,"0.563 (0.139, 1.048)","0.254 (0.028, 0.533)","1.085 (0, 2.259)","0.292 (0, 0.919)"
"42","",2,"0.5 (0.106, 0.941)","0.11 (0.018, 0.242)","0.335 (0, 0.98)","0.055 (0, 0.181)"
"43","",3,"1 (0.586, 1.399)","0.419 (0.135, 0.775)","1.278 (0.312, 2.262)","0 (0, 0)"
"44","",4,"1.01 (0.665, 1.379)","0.287 (0.102, 0.515)","1.591 (0.763, 2.572)","0.382 (0.058, 0.842)"
"45","",5,"1.054 (0.731, 1.376)","0.362 (0.153, 0.644)","1.422 (0.623, 2.248)","0.27 (0.031, 0.624)"
"46","",6,"1.1 (0.759, 1.443)","0.494 (0.275, 0.803)","1.404 (0.627, 2.375)","0.672 (0.116, 1.558)"
"47","",7,"1.156 (0.892, 1.376)","0.478 (0.243, 0.785)","1.03 (0.428, 1.613)","0.173 (0.02, 0.409)"
"48","",8,"1.216 (1.024, 1.397)","0.265 (0.13, 0.461)","1.62 (1.072, 2.171)","0.091 (0, 0.218)"
"49","",9,"1.016 (0.803, 1.197)","0.685 (0.413, 0.945)","1.15 (0.697, 1.603)","1.332 (0.516, 2.139)"
"50","",10,"1.104 (0.994, 1.184)","0.657 (0.48, 0.827)","1.659 (1.4, 1.881)","0.799 (0.481, 1.17)"
"51","SL-90 (all)",1,"0.545 (0.135, 1.037)","0.224 (0.025, 0.47)","1.018 (0, 2.091)","0.312 (0, 0.991)"
"52","",2,"0.504 (0.108, 0.946)","0.099 (0.017, 0.218)","0.317 (0, 0.919)","0.056 (0, 0.186)"
"53","",3,"1.028 (0.609, 1.444)","0.388 (0.127, 0.71)","1.076 (0.259, 1.904)","0 (0, 0)"
"54","",4,"1.061 (0.701, 1.443)","0.268 (0.094, 0.484)","1.308 (0.623, 2.111)","0.365 (0.056, 0.797)"
"55","",5,"1.099 (0.762, 1.42)","0.337 (0.141, 0.604)","1.153 (0.502, 1.845)","0.262 (0.029, 0.613)"
"56","",6,"1.16 (0.803, 1.52)","0.465 (0.254, 0.772)","1.186 (0.527, 2.001)","0.576 (0.1, 1.3)"
"57","",7,"1.197 (0.936, 1.427)","0.434 (0.22, 0.711)","0.837 (0.354, 1.312)","0.144 (0.016, 0.342)"
"58","",8,"1.247 (1.049, 1.433)","0.247 (0.121, 0.43)","1.309 (0.866, 1.761)","0.075 (0, 0.178)"
"59","",9,"1.047 (0.824, 1.234)","0.646 (0.387, 0.894)","0.896 (0.544, 1.251)","1.087 (0.412, 1.754)"
"60","",10,"1.134 (1.03, 1.214)","0.633 (0.461, 0.798)","1.297 (1.088, 1.473)","0.619 (0.371, 0.904)"
"61","SAFE",1,"0.957 (0.227, 1.886)","0.596 (0.066, 1.231)","0.718 (0, 1.507)","0.235 (0, 0.732)"
"62","",2,"0.652 (0.133, 1.201)","0.171 (0.029, 0.378)","0.13 (0, 0.398)","0.028 (0, 0.095)"
"63","",3,"1.126 (0.658, 1.59)","0.545 (0.179, 1.032)","0.469 (0.095, 0.86)","0 (0, 0)"
"64","",4,"1.164 (0.782, 1.555)","0.344 (0.122, 0.616)","0.621 (0.309, 0.998)","0.145 (0.022, 0.327)"
"65","",5,"1.065 (0.727, 1.398)","0.411 (0.172, 0.731)","0.533 (0.201, 0.861)","0.101 (0.011, 0.23)"
"66","",6,"1.014 (0.712, 1.315)","0.499 (0.273, 0.823)","0.477 (0.237, 0.731)","0.227 (0.041, 0.536)"
"67","",7,"1.141 (0.874, 1.354)","0.473 (0.25, 0.758)","0.38 (0.162, 0.603)","0.06 (0.007, 0.138)"
"68","",8,"1.144 (0.949, 1.302)","0.255 (0.125, 0.435)","0.746 (0.497, 0.998)","0.029 (0, 0.068)"
"69","",9,"0.948 (0.731, 1.127)","0.588 (0.361, 0.804)","0.542 (0.317, 0.764)","0.396 (0.157, 0.617)"
"70","",10,"1.026 (0.91, 1.112)","0.562 (0.404, 0.71)","0.944 (0.786, 1.071)","0.31 (0.182, 0.454)"
